Comment,Designator,Footprint,LCSC,Quantity
100nF,"C73,C83,C93",C_0603_1608Metric,C14663,3
ZXM61P03FTA,"Q71,Q81,Q91",SOT-23,C15127,3
RBR3MM40ATFTR,"D71,D81,D91",D_SOD-123F,C191023,3
IRLML0040TRPBF,"Q72,Q82,Q92",SOT-23,C20917,3
RC0603FR-071KL,"R76,R86,R96",R_0603_1608Metric,C21190,3
RC0603FR-07100KL,"R75,R85,R95",R_0603_1608Metric,C23192,3
R_0603_1608Metric,"R1,R2,R3,R4,R78,R88,R98",R_0603_1608Metric,C23345,7
RC0603FR-07330RL,"R74,R84,R94",R_0603_1608Metric,C25803,3
RC0603FR-0710KL,"R72,R77,R82,R87,R92,R97",R_0603_1608Metric,C25804,6
33k,"R71,R81,R91",R_0603_1608Metric,C4216,3
C_0805_2012Metric,"C5,C7,C72,C82,C92",C_0805_2012Metric,C440198,5
C_0603_1608Metric,"C1,C2,C3,C4",C_0603_1608Metric,C57112,4
