Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,C_0603_1608Metric,C_0603_1608Metric,7.94999,-13.2,-90.0,top
C2,C_0603_1608Metric,C_0603_1608Metric,31.34118,-12.4,-90.0,top
C3,C_0603_1608Metric,C_0603_1608Metric,32.74118,-13.2,-90.0,top
C4,C_0603_1608Metric,C_0603_1608Metric,6.54999,-12.4,-90.0,top
C5,C_0805_2012Metric,C_0805_2012Metric,13.69999,-6.15,90.0,top
C7,C_0805_2012Metric,C_0805_2012Metric,38.49118,-6.15,90.0,top
C72,10uF,C_0805_2012Metric,47.593477,2.965724,90.0,top
C73,100nF,C_0603_1608Metric,57.593477,5.965724,-90.0,top
C82,10uF,C_0805_2012Metric,24.593477,2.965724,90.0,top
C83,100nF,C_0603_1608Metric,34.593477,5.965724,-90.0,top
C92,10uF,C_0805_2012Metric,1.6,2.9,90.0,top
C93,100nF,C_0603_1608Metric,11.6,5.9,-90.0,top
D71,RBR3MM40ATFTR,D_SOD-123F,49.043477,5.965724,0.0,top
D81,RBR3MM40ATFTR,D_SOD-123F,3.05,5.9,0.0,top
D91,RBR3MM40ATFTR,D_SOD-123F,26.043477,5.965724,0.0,top
Q71,ZXM61P03FTA,SOT-23,53.343477,6.015724,0.0,top
Q72,IRLML0040TRPBF,SOT-23,6.35,2.55,0.0,top
Q81,ZXM61P03FTA,SOT-23,30.343477,6.015724,0.0,top
Q82,IRLML0040TRPBF,SOT-23,52.343477,2.615724,0.0,top
Q91,ZXM61P03FTA,SOT-23,7.35,5.95,0.0,top
Q92,IRLML0040TRPBF,SOT-23,29.343477,2.615724,0.0,top
R1,R_0603_1608Metric,R_0603_1608Metric,12.74999,-13.9,0.0,top
R2,R_0603_1608Metric,R_0603_1608Metric,12.74999,-11.8,180.0,top
R3,R_0603_1608Metric,R_0603_1608Metric,37.54118,-13.9,0.0,top
R4,R_0603_1608Metric,R_0603_1608Metric,37.54118,-11.8,180.0,top
R71,33k,R_0603_1608Metric,59.593477,2.715724,-90.0,top
R72,RC0603FR-0710KL,R_0603_1608Metric,12.1,2.65,90.0,top
R74,RC0603FR-07330RL,R_0603_1608Metric,11.85,8.4,0.0,top
R75,RC0603FR-07100KL,R_0603_1608Metric,33.093477,5.965724,90.0,top
R76,RC0603FR-071KL,R_0603_1608Metric,33.593477,2.715724,90.0,top
R77,RC0603FR-07100KL,R_0603_1608Metric,55.093477,2.715724,-90.0,top
R78,RC0603FR-07330RL,R_0603_1608Metric,3.6,2.65,90.0,top
R81,33k,R_0603_1608Metric,36.593477,2.715724,-90.0,top
R82,RC0603FR-0710KL,R_0603_1608Metric,35.093477,2.715724,90.0,top
R84,RC0603FR-07330RL,R_0603_1608Metric,34.843477,8.465724,0.0,top
R85,RC0603FR-07100KL,R_0603_1608Metric,56.093477,5.965724,90.0,top
R86,RC0603FR-071KL,R_0603_1608Metric,10.6,2.65,90.0,top
R87,RC0603FR-07100KL,R_0603_1608Metric,32.093477,2.715724,-90.0,top
R88,RC0603FR-07330RL,R_0603_1608Metric,26.593477,2.715724,90.0,top
R91,33k,R_0603_1608Metric,13.6,2.65,-90.0,top
R92,RC0603FR-0710KL,R_0603_1608Metric,58.093477,2.715724,90.0,top
R94,RC0603FR-07330RL,R_0603_1608Metric,57.843477,8.465724,0.0,top
R95,RC0603FR-07100KL,R_0603_1608Metric,10.1,5.9,90.0,top
R96,RC0603FR-071KL,R_0603_1608Metric,56.593477,2.715724,90.0,top
R97,RC0603FR-07100KL,R_0603_1608Metric,9.1,2.65,-90.0,top
R98,RC0603FR-07330RL,R_0603_1608Metric,49.593477,2.715724,90.0,top
